conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,84619E+18;Tue Oct 15 13:56:15 +0000 2024;0;org2 ngapa bangga amat ye bisa ngejual tiket konser ovp gitu. kalau dikomen begini ada aja alesan dan kilahnya buat nge counter. kgk usah ngmng ovp2 an lgsg aja tulis kalau klian ni calo;1,84619E+18;;;in;00z;0;0;0;https://x.com/angiotengsin/status/1846188339231416440;1,16474E+18;angiotengsin
1,84382E+18;Wed Oct 09 00:56:35 +0000 2024;0;300k itu ga seberapa nder 2018 gw beli tiket konser BTS dr harga asli $ 5k dolar taiwan/2 2juta berahir gw harus bayar 2x lipat jd 10k/kurleb 4 4 juta itu baru jasa war klo calo lain lg harganya bisa berkali2 lipat itupun disection yg kasian;1,84382E+18;;;in;;0;0;0;https://x.com/istri_minsuga90/status/1843817803742359998;2610933169;istri_minsuga90
1,84369E+18;Tue Oct 08 16:33:07 +0000 2024;0;Udah tiket konser mahal promotor blm tentu bener duit gw pun terbatas masih harus berkelahi dgn calo (yes u pada yg jasa war tetep gw kategorikan sebagai calo);1,84369E+18;;noraehalge;in;Japan;0;0;0;https://x.com/noraehalge/status/1843691102769230279;274858689;noraehalge
1,84368E+18;Tue Oct 08 15:54:14 +0000 2024;0;Masa kita yg disalahin krn ga web check in jd ga dapet slot kursi pesawat? Dikata war tiket konser apa yak? Orang udah booking dan bayar jauh2 hari Kalo abis kan ga mungkin masih bisa dibeli dikata nge calo tiket pesawat? Aneh bgtt;1,84368E+18;;anandartr;in;;0;1;0;https://x.com/anandartr/status/1843681317596344495;219889566;anandartr
1,84364E+18;Tue Oct 08 13:28:49 +0000 2024;0;Gw dah kit ati nton konser bujang di sini. Udahlah bertarung dengan calo berkedok jastip yang doyan nahan booking tiket ((dibayar kagak)) kudu banyak-banyak berdoa biar qn/sn ga ampas dahlah abis itu menatap nanar doang orang wts tiket harga obralan atau klo high demand;1,84364E+18;;;in;너의 마음;0;0;0;https://x.com/kiky25/status/1843644720846901638;564406767;kiky25
1,84363E+18;Tue Oct 08 12:49:36 +0000 2024;2;Betul. Rich fans ga akan peduli sama boikot2 sistem kapitalis promotor. Jangankan membership 850k orang beli tiket di calo sampe dua digit aja dijabanin kok. Makanya kenapa sistem kapitalis ini masih ada termasuk juga calo di konser? Ya karena ada pasarnya tetep ada yg beli ‍️;1,84363E+18;;;in;;0;0;0;https://x.com/orangeblssom_/status/1843634852308103534;1,76558E+18;orangeblssom_
1,8436E+18;Tue Oct 08 10:28:51 +0000 2024;4;Persiapan war tiket konser GD di Jakarta : jastip calo Bot dukun Desperate measure versi saya @bingumootmoot dan @crueleanor ;1,8436E+18;;;in;;1;2;2;https://x.com/ImButtercup/status/1843599431435985205;49194880;ImButtercup
1,84352E+18;Tue Oct 08 09:29:17 +0000 2024;0;@munchincake huwa makasi kakk aku juga ntar bakal minta tlg sm karyawan kantor mamaku buat bantu war wkwk yg cewe2 suka war tiket konser jg soalnya. jujur liat fee tiket calo ini rada shock pas bp kmrn yg vip aja dah berapa jt tuh;1,84358E+18;;munchincake;in;Indonesia;0;0;0;https://x.com/kawaiichichu/status/1843584439387074612;1,01128E+18;kawaiichichu
1,84357E+18;Tue Oct 08 08:29:06 +0000 2024;0;I am so against jastip tiket konser. Sama kaya beli di calo. Semakin banyak yg pake jasanya semakin banyak yg nawarin dan semakin ga sehat persaingannya. Ujung2nya yg bisa dapet tiket ya mereka yg modalnya besar aja.;1,84357E+18;;;in;;0;1;0;https://x.com/dewmowni/status/1843569296829755499;1,59569E+18;dewmowni
1,84356E+18;Tue Oct 08 07:49:25 +0000 2024;1;emang hal kayak gini tuh harusnya diatur jir sama pemerintah. batesin harga tiket konser pajak konser aturan strict buat promotor termasuk calo atau jastip pake bot dan scammers tuh beneran meresahkan banget. tapi pemerintah sendiri aja zolim sih mau berharap apa.;1,84356E+18;;_kwonstellation;in;from:@_kwonstellation pjka;0;0;0;https://x.com/_kwonstellation/status/1843559309843804529;1,30544E+18;_kwonstellation
